name,latitude,longitude,cctvUrl,city,district,town
전북특별자치도 완주군,35.927500,127.101500,http://cctvsec.ktict.co.kr/2851/hj0lDXH810Lcyx4jn5oMOdD+LPiS3XTwhJSq7T1Sma44T/sVnPGHaJcAQJe2vcOi5/84VWmOWUkm52DUbDdttaAR7aQNrkt6R1yBZyCPcJ4=,전북특별자치도,완주군,삼례읍
전북특별자치도 완주군,35.920722,127.110785,http://cctvsec.ktict.co.kr/2852/eLQpZs0W35mgBS2AyFcxyZJAIlk6BQU2lB4bLG1Vv31Pz83h2HOtJmukXmX7SDyiNsgkQAvLh3q1H2QtYR9x0qdKkkG27spH3ZbkZ6B0B+c=,전북특별자치도,완주군,삼례읍
전북특별자치도 완주군,35.884152,127.171959,http://cctvsec.ktict.co.kr/2853/MFVr0AF2IG7iXv4SOxvJK6f5/iO+kBu8lBDAgKoCkCTvKhMckvbGasgXfP6ljGTbLbarJMB3SsKZLmDRsvWRpJz58Ehnb+lKeijqluXSCNA=,전북특별자치도,완주군,용진읍
전북특별자치도 완주군,35.865459,127.226387,http://cctvsec.ktict.co.kr/2855/7NvRcLCmxft+64seYkKobXRIFbfGULuydtLHNotLvdLYASF7RLT4kA1FzHOP3bxEnjpbp/a1aa9iATxov+E8RceCHnHTDkbdYmXbzhdHYQg=,전북특별자치도,완주군,소양면
전북특별자치도 진안군,35.767276,127.363646,http://cctvsec.ktict.co.kr/2857/5mMnm/a7WkbcW1LKKzyIX/Qpd5TwIl325stY2OM/qrp7IAbRf+PkNVaP1Clq1aurA1sH/I/Lon1N0sL/moPWU6qRBPSMw42s/6q1C63ReGQ=,전북특별자치도,진안군,진안읍
전북특별자치도 진안군,35.768213,127.362527,http://cctvsec.ktict.co.kr/2858/mwnNXKsJhqD9rMsV+Pv5f1xJmvTrYoafyIuydyYPLUNEijxSEIuZ7SC+t/Ra8Nd7Da1S3JPSO8KPOpcEat8Ep3ToF0fz9WR438I9o1PmfvI=,전북특별자치도,진안군,진안읍
전북특별자치도 진안군,35.768611,127.390726,http://cctvsec.ktict.co.kr/2859/Fzb1TtefJwrZVUg6Hg5l+APf4RL5BcVt1EWoH6p3fhzci5oOznecxGQHKVjtIZrOaPsEqIiEWUMDO6PbTisThEhJfsPv+2KsRleX7T3s+I0=,전북특별자치도,진안군,진안읍
전북특별자치도 진안군,35.771674,127.446062,http://cctvsec.ktict.co.kr/2860/VxIPbNXUl2KrlQ4P0VtGhFTVhFkAmiObpe28YeYBcVbFvvqjLaSZceBUYbcPAlDnI6vXzncEOMdbgP01sC7+uqp/3nEZZ6ggCADIillE5rA=,전북특별자치도,진안군,진안읍
전북특별자치도 진안군,35.766156,127.504989,http://cctvsec.ktict.co.kr/2861/bI1hQVTTmoqB8knaz3V1w6DwLZflN9PBJ+ESTNSqGd/YZjfdkq9oWf14BV8l+AjtlBZv+9g5rjwJgfCztZQlZs0PJI4Pe5GoTn1G+yoZtXg=,전북특별자치도,진안군,진안읍
전라남도 순천시,35.017948,127.359749,http://cctvsec.ktict.co.kr/2863/XSHycLAIU4Pu2NVCkv9YnatZPvc3HQYBvpX6E89qBeI506iyUtW07K3SKzEFNoJhNuulqLN4df1hV+iNlSmvgLvKuvGR/kLbrRrNihQ1ZuY=,전라남도,순천시,승주읍
전라남도 순천시,35.036385,127.297028,http://cctvsec.ktict.co.kr/2864/GSt7CH0GpIGAmmYR0alNFsS/F/LOortSxZUovKLTpLYVU1rAIduSHZTciIG22ysHz0325zXgT/COsEp+4f7fyO9tVQhQV57KZgWiTkTY8DE=,전라남도,순천시,주암면
전라남도 순천시,35.058212,127.274200,http://cctvsec.ktict.co.kr/2865/neUGwvhKVAiN90AT8K0FGoGG+YBX5mewnGHiiFQTl+qFWrpC6hYkTkE5jlZZiHhDmy7LA61IeC4oo4OHhjNf47wLKMkWIuHP/0VWhtOOGIM=,전라남도,순천시,주암면
전라남도 곡성군,35.083359,127.262932,http://cctvsec.ktict.co.kr/2866/y1xRaiNB4RxvfDpv/0vwOxIfwp2OHNj0NkJ8WA9yr4prtCGiRaWoMv/kq/I62GdTAkRxiTUjsHeNkJ14yclz0odOG1WyALphWo44u929i/0=,전라남도,곡성군,목사동면
전라남도 곡성군,35.137089,127.252792,http://cctvsec.ktict.co.kr/2867/Z2HFIUxzvjCv/EkLHdlEYivrdVtWxgWuI3weh5sMOVI3Zj8OtW/mNbceJIJYlEOsSXxSGaJKPsO/AJFwni6pfm64Mb1q5XFmCVu5kKBPQUM=,전라남도,곡성군,석곡면
전라남도 곡성군,35.199196,127.235268,http://cctvsec.ktict.co.kr/2868/ZKPLMHrxxj0gPj/tlQVSgv867F8ET9wEGQmz5vRuiwnNm3OHe/eGDohple8e/yvVUvbzw8NAM89lLa7NsSFWEAZWJ3kfVdIiipPb5cQSyH8=,전라남도,곡성군,삼기면
전라남도 곡성군,35.257393,127.157204,http://cctvsec.ktict.co.kr/2869/SCgiFj4xWgg7r3QG80lmaI2pwTDNGqyaprpuNiEU6KNhQIe1aIXMlyG618rxzJ/mY9WevFdbfkQ+7WOXTXEU410UBf2k/Y7bRM+6VJTmS3c=,전라남도,곡성군,겸면
전라남도 곡성군,35.257980,127.122742,http://cctvsec.ktict.co.kr/2870/aQwnPjDrDYB6hepxfyffTvY07+iBBvoCUwfF1jaqrqZvsKyxZkkPwHIFrR3rf1fDrcVL9UkMFgHi2A4jTqtz7XWWshaYlyzHJJVZqSehLyc=,전라남도,곡성군,옥과면
전라남도 곡성군,35.261223,127.097771,http://cctvsec.ktict.co.kr/2871/ZLp/ylbkzV5bgvZj6Kf1r/a2k9O1Br2NfiJi8I7wbi+gm9kc80vLSW9DL5VRRtC0STzMpwdBXDyw1k8aiz4ZlCromFzchTPhrJNPwPlNL1g=,전라남도,곡성군,오산면
전라남도 담양군,35.242355,127.020546,http://cctvsec.ktict.co.kr/2872/SeCs4Lzl8eFZ7PwLablD0DfNJLzn/WlP7RZokC/waDI0ZowLyROiJAEgAo5VJ3PE9UH+tZSBVrG29JlroB1DMIVjsMcmmR7eDqyTta4jEPo=,전라남도,담양군,창평면
전북특별자치도 김제시,35.784000,127.010956,http://cctvsec.ktict.co.kr/2886/8uyqptDiRf/PduF/zWSnSfZCUkMPCRw575y+0kaOsh3P+F9bC/MRjrjsu/TWe1qFzHjXb7Cf0z0prnYDu999+oNLUuWS3+UCaD2aS1m7VOs=,전북특별자치도,김제시,금구면
전북특별자치도 완주군,35.819519,127.029594,http://cctvsec.ktict.co.kr/2887/PzdRtX01j/k/FS18oWh3iiPzWo77J5dPQSnYeKFFe2+1rO6lxggIVoaSIaA/HtZygNnigj59QCMyNnzoNa5zuqR/Pc6Bjvh+0ALBwdJdRAw=,전북특별자치도,완주군,이서면
전북특별자치도 전주시 덕진구,35.875492,127.054070,http://cctvsec.ktict.co.kr/2888/Pt/sxyN+V+47uLvybzPBl26tWgp6IZst4WBxVgNlE07uuEHLAJiGtkdqel/cR+CZFHK3eKt3RX+ajO0CUWRhCdKKxsWWjNivmUs/JqBUMVs=,전북특별자치도,전주시 덕진구,용정동
전북특별자치도 익산시,35.915966,127.066734,http://cctvsec.ktict.co.kr/2889/yhSVVgv7SSR04z0zGyFjZJdeuGCqJDzkOA4bkh1Q1uTTKiUM4wIxxSeZcLj7tVPZq16zQKoahhrPhtov1LpWhRB13bNUHSeQHLh+we7wdfQ=,전북특별자치도,익산시,왕궁면
전북특별자치도 익산시,35.942722,127.089333,http://cctvsec.ktict.co.kr/2890/zsSXi6TPB4yO7AThBmvpElI0KtSgQ8XA+FhM4CSApA76gg/4h4QNPKFr6/rtfnzAAGpuxJCMCmzPPEDKfemn5/8mZHapkUMutjj6zYpmM78=,전북특별자치도,익산시,왕궁면
전북특별자치도 완주군,35.970520,127.105148,http://cctvsec.ktict.co.kr/2891/LsnLYeHnuIZ84hNw5sRfZgf8hr9tARB1n9ucYNn1euC+KC0AWcurntOHF8z//vjwboQ6pyIm6tCzKjSNQq5bN6MmmpXcgYkhXBl5uaMjdQ0=,전북특별자치도,완주군,봉동읍
전라남도 순천시,35.000072,127.527016,http://cctvsec.ktict.co.kr/2892/j7gaDZIgTmQX3rERSAo4XAttHAcu+calvoSH6P8weVkY04ii1Y0+GZND5Fq4u1vgawRpQ+ddqKreOwpb3ficFArCJqivKCjKhK7WbaNkn0I=,전라남도,순천시,서면
전라남도 순천시,35.122223,127.462997,http://cctvsec.ktict.co.kr/2893/8AyKI13Sh4FTI380g9HCeDVBbSt2BPpCuHCNOqn9Fz9Cm4b1He3OewCEq6IGNJw+9V1pZGE6+Dyno6GS9EzFOpRsq+07YSfPOtZUr4gYQGs=,전라남도,순천시,황전면
전라남도 구례군,35.200420,127.449211,http://cctvsec.ktict.co.kr/2894/HXhJVb/WTz77S76B0RzIjbwSm22VHHedVapPcFc6C6bJw+U539QcAP38akdh1AlWtD5V91ielq9vhnhnRqMxv+TipRkLNrKirlsNeVHefoM=,전라남도,구례군,구례읍
전북특별자치도 임실군,35.562351,127.322800,http://cctvsec.ktict.co.kr/2895/H0Ff1xQ2wO8aJl36/9AmNy07fXKNTtv/z3zPXS/hdRMzWWFI62S9bZockkIRqLhrz8sOoa1WzzJ1v3YaCyME/7u8iqI3RWKyKsVGl7HWeiw=,전북특별자치도,임실군,오수면
전북특별자치도 임실군,35.599464,127.331047,http://cctvsec.ktict.co.kr/2896/4i8M/KIEMWInsY1L4R/ddrJrT3/lZQTApfoL4agS16VpWIOkAhGnrp06GK03c4YfytLsHajGk/e0WIgNK7OJQtssNmnoj7qDDabKtaxGIT0=,전북특별자치도,임실군,성수면
