name,latitude,longitude,cctvUrl,type,roadId,resolution,format,time
[남해선] 강진1터널,34.697629,126.734609,http://cctvsec.ktict.co.kr/8179/PfcnQT2oDgNkGF04PXPPVZ3I5Q+KfWb7kevbYnRWYWARSSQyHMxmQY8u29ybwQHfu9vV4AoUALpDoMVo3AH0hjAU8M2xKAjl8q5Ja/O8g1w=,1,,,HLS,
[남해선] 강진1터널,34.697216,126.746474,http://cctvsec.ktict.co.kr/8180/gsPEJI5dwO4QTBqQTWPdQdz4/bgpzp/k6EVgem0q3MsOHKLzXmb7mP3AUxbWpIpkPlOflTrYe6fjKrpGsUgvJDx8JnTc8y11J0B61tIKgoc=,1,,,HLS,
[남해선] 강진2터널순천외부,34.685884,126.777571,http://cctvsec.ktict.co.kr/8181/GPwrq59d+IMEbt0lSwqHhi1jtxsqxWe2J31rUKQSeZ5iYP1w2b8lfjpk7jFUuweBa8tTyGgnqEOSdVwRivp3Rzm0g/sSIrbSvsDtrnJXZHA=,1,,,HLS,
[남해선] 토마육교,34.682133,126.816999,http://cctvsec.ktict.co.kr/8182/kwNyAjPUSLrPAN8RO1w7UFrpmkgH2nGhFHo/RQjDcNqNuuKyd5VvKV7Y8XB86Nr6y5a9PALhWQKmRWVWuDtukJKtE4qsCtfFsRp3F3WE1a4=,1,,,HLS,
[남해선] 강진4터널순천외부,34.681141,126.836323,http://cctvsec.ktict.co.kr/8183/D/7fOTslsowoLkZEdsDOsJKxDhmtBOzrEnGzQCoL4ANcdVnk77GDjXVxIXzC87TJKhnYUcMSHq8MFOUOcFQrZVv1ig1Vk4wZEG2GYnpMA1o=,1,,,HLS,
[남해선] 강진4터널영암외부,34.688333,126.857095,http://cctvsec.ktict.co.kr/8184/lbq33Oai34wGT/RK0vZRLZW8B+ViBxPO+Al9sXqF1Y544svvR3z5whcx5aWZ0wXy3qovDLCkn2a/UPFUdQPqGH2wzaUH34KceREPXVIkHuo=,1,,,HLS,
[남해선] 장흥1 2터널,34.693088,126.869284,http://cctvsec.ktict.co.kr/8185/cC7hJ13CzkYsEnZ2OJ+kQyMDHJ9XvMAgzkY6+L/ZZk6KNtoDFIvuFwJBJ3WutgMht/KvFxE7HS1GlGApIZ93khXWVH+afAaSHyBRq0aG56Y=,1,,,HLS,
[남해선] 장흥2 3터널,34.696333,126.882750,http://cctvsec.ktict.co.kr/8186/CGxPwwN9SLv0A9cCjbbwpjLDnGVSK8eKNU3sinl27HGG8dCd8Akow8zGlTxYSeaJLNutXj+dP3q2pfnFr7CWVeOgSbvpkYBhY/DMlmFrVfw=,1,,,HLS,
[남해선] 제암산1 2터널,34.729722,126.941389,http://cctvsec.ktict.co.kr/8187/zxjQH+SP+VtwIcw+q2fHISX3nsXiAfd1EW3x44M6evrzr+hYYEOaY7xiU6Mgd1oQcLpHgaOEpmkAa7czFJM1bAIxD5knKfsiJn3hUuysplA=,1,,,HLS,
[남해선] 부산천교,34.735239,126.959250,http://cctvsec.ktict.co.kr/8188/Yox0Ia7oAsB+r1yisbEJJ6iXdSQLOsZ3kDUc4ab4IC9h+TaOgwRdikXqcKEQnG05UjBRQX1LX+FAj1UDcSLoNvCczldznonMWr6WNUaNvEE=,1,,,HLS,
[남해선] 장동2 3터널,34.763167,126.999500,http://cctvsec.ktict.co.kr/8189/8LYdvOJeArPBJBeE7GxuY8HqFQSqFogEx7stupswA2+LYtF5BTAmXryrKD3Khs3VLy3i+baZPpfdB4hsUn/5pkIR25+ON+z1GWQla4gMEaw=,1,,,HLS,
[서해안선] 광암교,34.895583,126.499953,http://cctvsec.ktict.co.kr/8237/t+qC1/qYe+pxQqcbQfoJh79hRLCXAC7sYDj+3icyMFirkert2GET04gvv2nkg8KBSp/UsPLQyt/553Y0DIh4FJSF1Kr/6HCBM1bG9S59dl0=,1,,,HLS,
[무안광주선] 용곡,35.123266,126.738041,http://cctvsec.ktict.co.kr/148/B5qb9zcepUCFj3yt2sZLO8jfp3L+7jyImYfJCl2Lk6pAsT/2PFS+Lm0+aXhVodZ0hi5zSbF0Lj2BSk1KkPzEHWAzyxtRJ1VNpVtlcM0tDdk=,1,,,HLS,
[서해안선] 신계,35.017284,126.490463,http://cctvsec.ktict.co.kr/150/5l6XiIgRsaSu9AgZrRFUYTPVhytfuZymym3+eoZ9JVSJkoic6jqgSqVQSuBCUEu3m25FAb/kT6bHjNahhc6UJEhJG7goMtwAzg8+K/JHy1A=,1,,,HLS,
[서해안선] 장년,35.092846,126.481369,http://cctvsec.ktict.co.kr/152/uIEeQUVlMaTvYlkF/wYKM6qyKIyqW801ps5gQcmC/C6pKzijXnL1LCmu7zr4zynrcGiF+VW4JSeOKcEdhubXz529icG6gSexDWQ1R+chG90=,1,,,HLS,
[서해안선] 화평,35.287579,126.550430,http://cctvsec.ktict.co.kr/153/j9j4l+6xSNRLXuLgXtR98edamLh9b6LUH7rTC6a7oIBo7dxm/306BjO5DJaemYUV2CFxOonM4Aw9U8hNixDrtP6ENAX31YZuw5icl1+N8D4=,1,,,HLS,
[서해안선] 고창분기점,35.417238,126.653181,http://cctvsec.ktict.co.kr/154/tsTawR6iac6kTcIS6ON6BqIXdZosupZM4GHINY4WPvNCNjtenh7F+0A1HqC6W3CVFJziJUpE67OZ/0LEbrgUtmeLtLfNNcnOERceG4DRT/8=,1,,,HLS,
[호남선] 월성,35.222394,126.972037,http://cctvsec.ktict.co.kr/202/Kj38xshtx/su+GKkefa9/A0Y78zZ3DEMchUeq/tsZ3ooI4LCB8jO6TLxEzgYHzgCjKIhsHxI3qRtS2UoEmG/QdMLwGDnQW+cIZv5e6Nndq4=,1,,,HLS,
[고창담양선] [담양]문수산터널(담양외부2),35.354452,126.746888,http://cctvsec.ktict.co.kr/321/j50ak8mQvmCDDp5VbQLFK8H305yz374/e6Ml2CM3qKWtOwdyG03x5Efcnq0LprmmEuCEtyr/taCC35WokjDHN9UGKZajanELB9vmhWZA/og=,1,,,HLS,
[서해안선] 율촌,35.332409,126.573097,http://cctvsec.ktict.co.kr/392/WLVj8CLzzSlpx2K4eVBorgYOdLKp/k3/T7R++MW6WYmwAHCm3Rv4UUUscA5KrQNSVmwHjjV6jQa7sVhQfrCH+vrqyQHnQIj3JQG3kPIvQok=,1,,,HLS,
[서해안선] 대목,35.819965,126.836929,http://cctvsec.ktict.co.kr/393/JaR0uK6uhRcK1O5CZ3SCm77UGiDTxaHclAFhKEO//3KwBthg7g4KZUJjYNrj6IPkqROE2WXbvqJ0TvJXWF0Y6JEJVn0+h106RGUENG/+FbY=,1,,,HLS,
[호남선] 상평육교,35.560600,126.824272,http://cctvsec.ktict.co.kr/768/OY4v4sejN/7TzUzIIyGW/GhAFzve02oCfJ1Rvjp7F6PMIcK04che6fU0XkMWdTjwsvJrRuT7wKh7oh55V9Egp+fjsnDeTHrS2W2HR/3WHBo=,1,,,HLS,
[광주대구선] 담양분기점,35.251944,126.969167,http://cctvsec.ktict.co.kr/2000/OkrVhTBjUD45Y7CN7epE8IOh9El8yaISV/u69avaXSIK/LQu8WQeIwZn8Fbtlwk6fdXCXlIdv3V2EILW4u6W/Zf1TlSEnFx4tFM9+ttmCCY=,1,,,HLS,
[고창담양선] 장성물류,35.350000,126.761670,http://cctvsec.ktict.co.kr/2054/5slYKAbhGY+zycg1S7xW99p4ZtBy1KhMTDnc1GJg6Brxgckz3IBo3gtU0MyLuilghxgImKUKbp9r5vMQOPx381JTKGT0c9SKB8gQZO1SR7g=,1,,,HLS,
[고창담양선] 장성분기점,35.331670,126.801670,http://cctvsec.ktict.co.kr/2055/DLRPm+18IE3XrwQTBxJsnMmuGzhVGfskU3L0poDIs8KtJ2g9nJNfUNU26vWbZ4AZ+jYgxZdq4Wcz98RRTMht3J9kUIPm5kDnTx6o8bzu244=,1,,,HLS,
[고창담양선] 북광주,35.261794,126.892619,http://cctvsec.ktict.co.kr/2056/MUUgnmZkzdx8zFl26Qn0dobpv1Lev+yNAqMx3D2Bh7XpQJNoM1uI+DXSmxNn4qWOaUbgdyXB/dFh92gHKWVMHq7PlBf2DusxBiReSY7udFs=,1,,,HLS,
[고창담양선] 와우,35.247500,126.937500,http://cctvsec.ktict.co.kr/2057/lnj+SS4+OCTTxVnBQ72B9t5CZwp1dQx5SyETnTkeLvImj7shslWIoIdgJvzVIk4GWC1M8ToyPzKgSuZZRW/m5NOK6LpGGtVMb0JhhlRWjwY=,1,,,HLS,
[고창담양선] 남고창,35.403333,126.673056,http://cctvsec.ktict.co.kr/2059/EpLIihhQLUY6mv2QCJYqKs0P0XycxkAsLpeMNKrxOcf+QMuMmddpwIWqVINYWieyWHnP+teSlLF4RB/nbskRsnkTYgxuhpkfOJA6VCPzi9k=,1,,,HLS,
[무안광주선] 문평,35.067780,126.601390,http://cctvsec.ktict.co.kr/2135/kKimwE34bcCbVTtCmnmkeC9KjV/Rsen702vcWBpZyYtJK2kQ+nk6IPmfRx1gDmwfwbtY6vdGMYlFwIwLLdUXO7YyYbQnudV7KLAEsCZXEaE=,1,,,HLS,
[무안광주선] 나주,35.102730,126.698490,http://cctvsec.ktict.co.kr/2136/KP2J3lS7tRWg6+FYyLJh8JOyYmHqouoa7QZnk+evPV6sfsC0CwSrQ0iWsVM578Y4P/sInJQQzpXw82/1QsKwMlyDjFAKl2g3EejS9RXDKdU=,1,,,HLS,
[무안광주선] 무안공항,35.002780,126.391940,http://cctvsec.ktict.co.kr/2137/j4DJcu4DAp2+a/oVL1pN/cSAV9j+WyjJJmNYQe9nnRAHy0QGWhFDz3f8aeW8wS9NGCFycCfW6U3MSqZVHZRA42wYeUmp7tswPt+L4fiNWUI=,1,,,HLS,
[무안광주선] 동함평,35.051390,126.546110,http://cctvsec.ktict.co.kr/2138/h3jvzJV2Uh0bUrhU3py9xUgz/6fmkLsymkWrO0s8GhChYY4sNTc7tARtrUxZwb5hjGyo2USK7WKrWm1M24A6jEV3ptspHcbbYCkSxBQaBWw=,1,,,HLS,
[무안광주선] 서광산,35.118964,126.732431,http://cctvsec.ktict.co.kr/2139/We3RV3JeSnVJDnMoa9MTR3zw64jYrlVNGkt+h7XmaqFJ88uK3OP6L5n+Xofaho5GFHv2eKAxSyk9nOvGPMyotLe4bM9C3S0kUzYmemLTDqA=,1,,,HLS,
[서해안선] 동군산,35.944975,126.833971,http://cctvsec.ktict.co.kr/2190/LjROKbRjpv6u8kierDsI8T+EHx+pYFKU6EvlokC3N2/FbvZ86tt+MjFo/vPLq8HIoqkpEjKqJ0+RguiBDZh+Y+dP3/eWTJIWIWi8bclkznE=,1,,,HLS,
[서해안선] 서김제,35.834415,126.839490,http://cctvsec.ktict.co.kr/2191/9g7EIo64n/+yv+ToRfrwwDWU4gpWk8C0ieJ8Dq5ZwR67ZPLK66akZGtFLY/T2/bz4bsZ3i/rgH83ukH5lgcX/Lntty9vA7r3iCzSuiUCNqM=,1,,,HLS,
[서해안선] 부안,35.724000,126.767000,http://cctvsec.ktict.co.kr/2192/UKtGStperbTKjDBOCML4ZTSAQpFwwhVrWAXR7hBLcOVPzHJVSVNGXoONsklR1bSj0pcDSKQjvbpcg5v4+9uxcDebT2MHeK/Q0QxwpufiaUU=,1,,,HLS,
[서해안선] 줄포,35.596670,126.696110,http://cctvsec.ktict.co.kr/2193/og7pgewQJ6E6LgJhoiO8WaiN7+06JNOBTW+AmEolz+J7HST4AKA5hUjkawHGwefUi0g9S3fXrOqdHyBzlIkvmK4GT0OXAIf6QKrA1G4+8Yk=,1,,,HLS,
[서해안선] 후포,35.541943,126.690681,http://cctvsec.ktict.co.kr/2194/t3LVvMpnF6RC8kuI0e6rw85nGw9KFw0nYGYmc18c64GYhxcj+5YFhdaw/P9J719CfwHsRIYzdax0V+Ko1wrD09TnkKAOPgeuDSMWHlZKK04=,1,,,HLS,
[서해안선] 고창,35.439574,126.663792,http://cctvsec.ktict.co.kr/2195/K9Mt3+Ibb4EiGFWecSWUnExwQujJCa1vya02PMorJ+wSWxVoesmNH1AN2U5ECqH8/pXMteyO/ApSrB0OxJxC9HyOWy9oGQSBxyjcLEK2ECI=,1,,,HLS,
[서해안선] 덕림,35.373613,126.598645,http://cctvsec.ktict.co.kr/2196/1GnCZCHvjPZvcLstxAGJEm81VNIFtqKdPCnsMJbdg6npTC9ZzwTrRdTA6dGDIPHzJzHrcnByKKiInyMnvo9JtbYNqykcn7D0C7arM2P6agY=,1,,,HLS,
[서해안선] 영광,35.298930,126.557578,http://cctvsec.ktict.co.kr/2197/tPrUjHiu95Uu4lsWRHyO6iS8VMCXsCr2H6MhTzDW4S6S7NGLlG0uTyUJjtfqwNR8wwOs7UEvoBF7CYt6hLNtAjjOY7aELbs8IFef3P34Dhw=,1,,,HLS,
[서해안선] 부춘,35.218890,126.490830,http://cctvsec.ktict.co.kr/2198/gYmVe4rQR05iIoj9WYyHSWUl70NReQXF/oN2AlMSqA/lhJrELyjqT7NXCy4vSFyXmQOLJebqckLrwaUBL+V6ifUbl1wIBfebC9csZQ9kN8A=,1,,,HLS,
[서해안선] 백운,35.169170,126.483330,http://cctvsec.ktict.co.kr/2199/cMce9hg6Y+TlNR/oC6tSyhs115yK+kypGcJtSljzLxs74XmxHi88EXV/eIzcW4FZ3ky6vOkRzumey3ZCM4mn3Be4JBIIkmHh39T1t8t1FDg=,1,,,HLS,
[서해안선] 함평,35.099170,126.481670,http://cctvsec.ktict.co.kr/2200/cceoEaJ5zY5QnL3mrTc2DIPUNFZjtP+mwoRf7W5SKf4UuBWG4ImOdoyOX27QnLp2aDV+tEfiwkn1mOU3KLQLL0AJkyaGXbzsE/HzwFGfBoI=,1,,,HLS,
[서해안선] 무안,35.009162,126.491888,http://cctvsec.ktict.co.kr/2201/158IrqHSoMDV8VQq0GQXAlJAN6Lx4pX2aopeDb8q8+8agJHw788P51CTN+HOMQCqqeGZnLrfhkVc0PQYTD1VfrJldDNcaBGNBjLg7Alw2hk=,1,,,HLS,
[호남선] 태인,35.661662,126.928125,http://cctvsec.ktict.co.kr/2319/axOCi3AjBUqI4nRwUl37iGL+2G/SviqYepa47S6CXqIKvFK8/3GtnW/0CFl/rdshv56+AJvUmS6wxb9SsMCbXo3a8p4AM0zVwKVn49zezWA=,1,,,HLS,
[호남선] 정읍,35.580616,126.832974,http://cctvsec.ktict.co.kr/2320/zW1MURpOHQ0Awhs+P9pCCZCQ8inQE97J/Hvi7nCjcnUp7fW4AJPeOCNqnbpjw8HflpVMDHVNOXyHTTtZQ2rYAZN44sBk61AStX3tqdPFwiQ=,1,,,HLS,
[호남선] 내장산,35.509507,126.801856,http://cctvsec.ktict.co.kr/2321/uOzgZ8e0ERsWYJtp1P/99I/AKuph/dLoWgABhDFixiTIGo9b43PaxvZq2ZJrICdLWX3rOikEx5ffqQlkF+EfbNvSQH5KgU3GpKIkInAJvcs=,1,,,HLS,
